hindi,english
है,is
।,.
के,The
मैं,I
नहीं,No
हैं,Huh
में,in
एक,One
आप,you
लिए,For
और,And
यह,this
से,From
की,Of
क्या,What
कि,That
तुम,you
हो,Ho
कर,Tax
मुझे,me
को,To
हम,We
था,Was
वह,that
पर,On
हूँ,I
रहे,are
भी,Too
रहा,Stayed
का,Of
अपने,Ours
कुछ,some
तो,so
गया,Gone
इस,this
मेरे,my
ठीक,OK
करने,To
किया,did
साथ,with
उसे,Him
हाँ,Yes
वे,They
सकते,Can
लेकिन,but
यहाँ,here
तुम्हें,You
कोई,someone
तरह,Kind
अब,Now
पता,Know
होगा,Will happen
बहुत,very
बात,talk
सकता,Can
जाओ,go
ही,Only
दिया,Given
करना,do
जा,Going
मेरी,Mine
सब,All
बारे,About
लगता,Think
कहा,said
जो,that
वहाँ,there
जब,when
इसे,him
अच्छा,good
चाहिए,needed
बाहर,outside
करो,Women
क्यों,Why
अपनी,mine
थे,Were
चलो,Let's go
दो,two
ले,Take
किसी,Any
फिर,Again
काम,work
अगर,If
ये,these
कैसे,how
करते,Do
पहले,first
बस,Just
चाहते,Want
जाएगा,Will
आदमी,man
कभी,ever
समय,Time
वापस,back
हमें,Us
रही,doing
आ,come
तक,By
हमारे,our
मेरा,my
रूप,form
मैंने,I
करता,Offers
या,or
अभी,now
मिल,Mill
चाहता,Wants
घर,House
उसके,his
सभी,All
उस,That
मत,Not
आपको,you
जाना,to go
अरे,Hey
सिर्फ,Only
बंद,Close
ओह,"Oh, is that so"
उन्हें,them
सही,right
हूं,I
थी,was
देखो,Look
ने,has
तुम्हारे,Your
प्यार,Love
वो,they
जरूरत,Need
लोगों,People
हुआ,happen
करें,Make
ऐसा,Like this
उन्होंने,They
दिन,day
न,not
बाद,after
कौन,Who
हर,every
पास,near
दे,Give
नीचे,bottom
देखा,saw
जाता,go
बार,times
कृपया,Please
धन्यवाद,Thank you
पिता,husband
करेंगे,do
भगवान,God
क्योंकि,Because
लोग,People
वाला,The
जानते,Know
देख,See
छोड़,leave
आज,today
मतलब,meaning
कहाँ,where
जीवन,life
आओ,come
जाने,To
अधिक,Excess
यही,This only
होता,Happen
सर,head
मदद,help
रात,night
माँ,mother
लिया,took
केवल,In college
तुमने,You
सबसे,from all
नाम,Name
मार,Kill
हुए,The
हमेशा,always
याद,remember
कारण,cause
गए,went
आया,He Came
जानता,knows
शायद,Maybe
साल,year
दूर,away
हे,O
होने,Having
फोन,Phone
भाई,brother
वास्तव,Reality
शुरू,Beginning
उसकी,Her
मिला,met
जगह,place
कोशिश,Try
कम,Less
सच,truth
लग,Look
शादी,wedding
पसंद,like
चला,walked
इन,These
अच्छी,good
तुम्हारी,Your
यहां,Here
दोस्त,friend
मर,Dead
कहते,Says
होना,Happen
दुनिया,world
तुम्हारा,your's
एम,M
कह,Saying
इसके,Its
रुको,Wait
तैयार,ready
बच्चे,children
उन,Those
लो,Take
उनके,Their
जैसे,like
इतना,this much
जल्दी,soon
अंदर,Inside
श्री,Mr
यदि,If
पिताजी,Father
कल,Tomorrow
ऊपर,up
देंगे,Will
आपके,your
हमारी,Our
बताओ,Tell
खुद,Myself
गई,Went
अपना,ours
खैर,Well
उसने,He
वाले,With
चलते,Go
रहो,Stay
दी,The
मिलता,Get
बेहतर,Better
कार,car
बकवास,Rubbish
पीछे,behind
द्वारा,by
मुझसे,with me
हाथ,hand
विश्वास,believe
पूरी,Complete
ना,No
महिला,Female
लड़की,girl
आपका,your
देखने,View
तुमसे,To you
लगा,felt
उसका,His
चल,Movable
ओर,And
मिनट,Minute
समझ,understand
बिना,Without
बता,Tell
तीन,three
सुनो,listen
पैसे,Cash
होगी,Will
दोनों,Both
कहना,tell
पुलिस,police
देना,Give
पुरुष,Male
कहीं,somewhere
बना,Make
परिवार,family
खो,Lost
दिल,heart
हां,Yes
लेने,Take
बेटा,son
सोचा,Think
आगे,ahead
जहां,where
पागल,crazy
सुना,Heard
जाते,Are
चले,Let's go
बोल,lyrics
गलत,wrong
ज्यादा,more
महसूस,Feel
चाहती,Wants
सकती,Can
यकीन,believe
इसलिए,so
पी,P
डर,Fear
आता,Comes
आपकी,your
लड़का,Boy
उह,Uh
समस्या,problem
बुरा,Bad
सुंदर,beautiful
छोटे,Small
बताया,Told
खत्म,Over
आने,Incoming
माफ,Sorry
कमबख्त,Damned
यार,close friend
बीच,Between
दूसरे,Others
काफी,enough
भूल,Forgotten
ध्यान,note
हुई,Hui
तब,Then
बेटी,daughter
रहने,Stay
खेल,sport
बड़ा,big
माफी,Forgiveness
बच्चों,Children
शहर,City
आह,Ahh
पूरा,complete
बदल,change
देने,To
देखते,Given
देर,late
डाल,Branch
बिल्कुल,absolutely
कई,many
वाह,Wow
सोच,Thought
भुगतान,payment
जैक,Jack
बेटे,Son
मुझ,Me
पानी,water
महोदय,Sir
आग,Fire
देता,Returns
आते,Come
कहां,Where
चिंता,anxiety
रखना,to keep
उससे,More
पहली,First
बनाने,Make
गोली,Gun Shot
माध्यम,Medium
कितना,How much
सुरक्षित,Safe
देखना,To see
वहां,There
इससे,by this
इसका,its
मारा,hit
पत्नी,wife
रहना,live
पार्टी,party
अन्य,other
अच्छे,Good
हैलो,Hello
महान,great
आए,Returns
क्षमा,Forgiveness
पिछले,last
मारने,Kill
रहते,Live
वादा,promise
राजा,King
इंतजार,waiting
उनकी,Their
सुबह,morning
सिर,Head
नए,New
विचार,idea
दोस्तों,Friends
योजना,to plan
प्राप्त,get
घंटे,Hours
खुश,Happy
अंत,the ending
करती,The
करेगा,Will
थोड़ा,Little
सम्मान,Respect
आदेश,order
पूरे,The
अलग,Apart
उम्मीद,expectation
आर,R
पाने,Get
औरत,Female
इतनी,So much
लड़के,Boy
गिर,Fall
संगीत,music
रास्ता,Way
युद्ध,War
रास्ते,Way
हमारा,our
जारी,Ongoing
मन,Mind
लड़ाई,fight
डाला,Highlights
शुक्रिया,Thanks
मुश्किल,Difficult
आराम,rest
चुका,Has
प्रिय,Dear
झूठ,lie
बंदूक,gun
खुशी,Joy
नरक,hell
आशा,Hope
चुप,quiet
उपयोग,Use
सवाल,Question
आपने,you
वैसे,by the way
देश,country
रखो,Please Keep
असली,Real
बड़ी,Great
जैसा,As
सुन,Listen
हाय,Alas
चोट,Injury
रखा,Placed
मौत,Death
पापा,Papa
पर्याप्त,Enough
पुरुषों,Men
शांत,Calm
पुराने,Old
हंसते,Laughs
सा,Sa
दें,Allow
पकड़,Hold
बहन,sister
सामने,Front
सुरक्षा,Security
खाने,Eat
खाना,food
चाचा,uncle
बन,become
अमेरिका,America
परेशान,worried
बच्चा,child
सी,C
जवाब,Answer
सेना,Army
आसान,Easy
पैसा,Money
ऐसे,So
महीने,Month
रखने,Keep
छोटी,small
अलविदा,Bye
कदम,Step
अगले,Next
भाग,Part
नमस्ते,Hello
सारे,all
लंबे,Long
देते,Currently
कॉल,Call
छोटा,small
भाड़,Screw
बनाया,Make
हमने,We
स्थिति,Event
इस्तेमाल,Used
परवाह,Care
कैसा,What
होती,The
गलती,mistake
राम,Rama
नष्ट,Destroyed
स्वागत,welcome
अजीब,strange
रह,Stay
व्यक्ति,person
मूर्ख,idiot
तुम्हे,you
सिकंदर,Alexander
मै,I
मालिक,Owner
गंदगी,Mess
रखें,Keep
नौकरी,job
हांक,Ejaculation
जीत,win
कंपनी,company
लेंगे,Will
चारों,Around
तस्वीर,Photo
रहता,Stays
कहानी,story
खड़े,Stand
रोक,Stop
बातें,Things
अकेले,Lonely
किस,kiss
साफ,clean
िलए,For
मौका,opportunity
भरोसा,believe
चिल्ला,Screaming
जहाँ,Where
कसम,Promise
सारा,Sarah
करीब,near
जान,life
तुलना,Compare
इतने,So much
कब,When
यात्रा,Travel
हमला,Attack
रक्षा,Defence
पाया,Found
जल्द,Soon
पति,husband
गयी,Added
जहाज,ship
बेबी,baby
हवा,air
आती,Arrival
दरवाजा,door
जाएगी,Will
कहता,Says
स्कॉट,Scott
मिलेगा,will get
मां,Mother
वाली,By
वजह,Reason
महत्वपूर्ण,Significant
जय,Jai
अकेला,Alone
सामान,luggage
सो,s / o
रख,Keep
शामिल,Incorporat
नया,new
मिलने,Meet
निश्चित,Fixed
करनी,To
स्कूल,school
जेल,Prison
तरफ,Side
बड़े,Large
पल,moment
अंतिम,The last
ब्रायन,Brian
पैदा,Cause
चार,Four
कितने,How many
कहने,Say
इंदर,Inder
इंतज़ार,Wait
जी,G
मातृभाषा,Mother toungue
अस्पताल,Hospital
जाँच,Check
बर्बाद,Ruin
दर्द,pain
दिनों,Days
शॉन,Sean
पृथ्वी,Earth
महिलाओं,Women
पूछ,Asking
लगभग,Around
नफरत,hatred
बताने,tell
देखें,View
ट्रेवर,Trevor
सप्ताह,Week
बेशक,Of course
डॉक्टर,doctor
पांच,Five
स्पष्ट,clear
लगी,Started
इसकी,his
तोड़,the break
मजाक,joke
पालन,obey
यहीं,Here
खाता,Account
क्षेत्र,Area
भर,Filled
मामले,Case
खबर,News
ज़रूरत,Need
सड़क,road
हत्या,the killing
समाप्त,End
प्रकार,type
ली,Lee
संदेश,message
क्लिक,Click
माफ़,Pardoned
शब्द,Words
खिलाफ,Against
खून,Blood
जॉन,John
लाने,Bring
शक्ति,Power
जाए,Things
फ्यूरर,Furr
भोजन,food
आवाज,Voice
हिस्सा,Part
कमीने,Bastard
वही,the same
भेजा,Sent
होंगे,Will
देगा,Will
जानती,Know
गधे,Ass
रंग,colour
मृत,Dead
शांति,Peace
आश्चर्य,Surprise
बेवकूफ,idiot
शरीर,the body
इच्छा,desire
टीम,Team
बताना,To tell
बचा,Save
होते,Are
कहो,Say
आना,come
लाइन,Queue
मरने,Die
व्यापार,business
कितनी,How
सं,No.
दुश्मन,enemy
तेजी,Fast
स्वीकार,Acceptance
जिस,The
जीवित,Living
बाकी,the rest
पार,Beyond
दस,ten
कमरे,rooms
संभाल,take care
खोज,search
आसपास,Nearby
कार्यालय,Office
बढ़िया,Fine
मिशन,Mission
बर्ट,Burt
खेद,Regret
लेकर,With
डौग,Doug
चोरी,theft
चेहरे,Facial
एंडी,Andy
हम्म,Hmm
चुके,Have
जानेमन,sweetheart
राष्ट्रपति,President
हथियार,weapons
सरकार,Government
पूर्व,East
जंगल,Forest
बचाने,Save
लेना,to take
मानव,human
बेकार,waste
ग्रह,The planet
करके,By
सोचते,Think
लाया,Brought
गये,Added
नेता,leader
हा,Ha
जांच,the inspection
साथी,partner
बैठ,Down
साहब,Sir
प्रार्थना,Prayer
यीशु,Jesus
अनुमति,Permission
मजबूत,Strong
लड़कियों,Girls
भेज,Send
पूछना,ask
विकल्प,the option
सीधे,Straight
खोजने,Find
सवारी,Ride
नंबर,Number
मैडम,Madam
विशेष,special
दूसरी,Second
ख्याल,Care
उत्तर,answer
दिमाग,brain
मुक्त,Free
उनका,Their
उनमें,In those
कॉलेज,College
कप्तान,Captain
हाउस,House
निशान,Mark
आवश्यकता,need
पेड़,Tree
सारी,all
निकल,Out
ऐसी,Such
श्रीमान,Mr
हालांकि,although
जिंदा,Alive
पैर,Leg
युवा,Young
तय,decide
राज्य,State
जादू,Magic
जानकारी,Information
नई,New
शॉ,Shaw
इसमें,in this
सुनिश्चित,make sure
बुरी,Bad
पीठ,the back
समुद्र,sea
पड़ा,Had
व्हाइट,White
गर्म,Hot
कोड,Code
कठिन,Tough
मुसीबत,trouble
लायक,Worth
सोने,Gold
छह,Six
रेडियो,radio
समझते,Understand
करोगे,Will
दरवाजे,Doors
सेकंड,Second
भविष्य,Future
जला,Burn
सामान्य,Normal
कोडी,Cody
खाली,Empty
निर्णय,Decision
दूसरों,Others
गति,Speed
नियंत्रण,Control
गंभीर,serious
आँखें,Eyes
चाल,Trick
परमाणु,Atom
बिस्तर,bed
अधिकार,Right
गायब,missing
कपड़े,dresses
लक्ष्य,aim
तेज,bright
प्रेज़ीडेंट,President
दौरान,During
चलिए,Let go
जाती,Are
तरीका,way
चेहरा,face
उड़ान,Flight
जबकि,while
जिम,Jim
ड्राइव,Drive
तुरंत,Immediately
लानत,Damn
निर्माण,Construction
दूसरा,Second
ग्रन्ट्स,Grunts
संभव,possible
कुतिया,Bitch
सक्षम,capable
कॉफी,Coffee
विंसेंट,Vincent
सावधान,Careful
पहुँच,Access
सांस,Breath
प्रवेश,Access
सपना,dream
बिजली,Lightning
पेले,Pele
इंजन,Engine
तरीके,Ways
लड़कों,Boys
दुकान,shop
संपर्क,contact
सेवा,Service
पूछा,Asked
चुकी,Has
बुला,Call
मारो,Beat
अलावा,Also
करूँगा,Will
फेंक,Throw
ड्रैगन,Dragon
नमस्कार,Hi
उठो,get up
पक्ष,side
बीमार,Sick
धीरे,Slow
भारी,Heavy
पकड़ो,Catch
मिले,meet
प्रभु,Lord
लगाने,Explore
ओक्जा,Okga
खा,Eat
सहमत,Agreeable
रिपोर्ट,Report
मृत्यु,Death
चाय,tea
बैठक,Meeting
सात,Seven
खराब,bad
आत्मा,Spirit
नुकसान,loss
खर्च,Expenditure
पड़ता,Has
लाख,Lakh
समझा,Understood
निकाल,Fired
बिलकुल,Absolutely
प्लीज़,Please
बारी,Turn
भूमि,Earth
लेते,Taking
खींच,Pull
दूँगा,Will
जमीन,land
कार्य,work
सामना,Face
बजे,time
आई,IPhone
प्रकाश,Light
लें,Take
सूअर,Boar
चाची,Aunt
लेफ्टिनेंट,Lt.
देखेंगे,will see
चीजें,Things
छोड़ने,Leave
पीछा,Chase
बढ़,Increases
भाग्यशाली,Fortunate
गर्व,Proud
ताकि,So
टूट,break
शानदार,Fabulous
उच्च,High
भाग्य,luck
टायर,Tire
पहला,First
ओम,Om
डी,D
तेरे,Your
सौदा,Deal
काट,cutting
कराह,Groan
खूबसूरत,beautiful
बनाना,to make
गड़बड़,jumbled up
फैसला,Decision
ज़रूर,Sure
प्रतीक्षा,Wait
थोड़ी,A
वर्ष,The year
नही,no
दिखाने,Show
परिवर्तन,Change
समुद्री,Marine
आनंद,enjoy
रोकने,Prevent
सूट,Suit
शिकार,Prey
मारे,Killed
साइमन,Simon
मील,Mile
जानना,Know
वक्त,time
सैम,Sam
धोखा,deceive
चिंतित,Concerned
जन्मदिन,Birthday
टीवी,TV
कल्पना,imagination
पा,Pa
बधाई,Congratulations
होटल,hotel
पुरानी,Old
इसी,Similar
हिम्मत,dare
राहुल,Rahul
हेलो,Hello
लाल,Red
समर्थन,Support
जिसे,Which
कार्ड,Card
डैनी,Danny
चलें,Head
बेच,Sell
डॉलर,Dollar
जाएंगे,Will
जाएँ,Visit
माफ़,Pardoned
ए,a
गले,Throat
बदलने,Change
प्यारी,Lovely
भयानक,Scary
अचानक,suddenly
कानून,Law
उसी,At the same
खतरनाक,Dangerous
बच,Escape
स्थान,place
भागो,Run
रक्त,blood
उड़ा,Blow
साबित,Proven
दक्षिण,South
उम्र,Ages
रहें,Stay
सोचता,Thinks
सुनने,Listen
बैठो,have a sit
तलाश,search
शाम,Evening
मास्टर,master
धत्,Boo
बुलाया,Called
मानना,accept
व्यस्त,Busy
ज़्यादा,More
दूंगा,Give
अप,Up
फ़ोन,Phone
ऐलिस,Alice
खड़ा,Stand
सोचो,Think
करूंगा,Will
डॉ,Dr.
रानी,Queen
एलिजाबेथ,Elizabeth
रो,Cry
आये,Came
करोड़,Million
दूरी,Distance
लेता,Takes
हार,Necklace
बज,Buzz
एरिक,Eric
कीजिए,Make
छत,roof
सके,Could
माता,mother
मिली,Found
देखकर,after seeing
देखभाल,Care
अध्यक्ष,director
पहचान,identification
पूछो,Ask
तूफान,storm
बैग,Bag
किए,The
तौर,Mark
एन,N
दीवार,Wall
इलाज,treatment
समझे,Understand
मुख्य,Important
शराब,Alcohol
सेट,Set
कराहना,Groan
सज्जनों,Gentlemen
फर्क,Difference
राजनीति,Politics
कमांडर,the commander
प्रणाली,system
दिखाई,Show
बम,Bomb
जाकर,Go
हाल,condition
स्टेशन,station
लाओ,bring
घुरघुराना,Purr
भारत,India
पश्चिम,West